Title,Date,Rating,Review
Underwhelming,12-18-23,2,"I had high hopes for the white truffle pizza, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was perfectly charred from the wood-fired oven. The generous portions of fresh mozzarella lacked flavor. We had to flag down the waiter multiple times just to get the check. The lunch special is an absolute steal for the quality you get. It gets quite loud during the dinner rush, making conversation difficult."
Disappointing evening,12-18-23,2,"I had high hopes for the white truffle pizza, but it fell short. The rich and savory tomato base was disappointing and the crust was a bit too doughy in the center. The cheese was a bit rubbery lacked flavor. The server was very attentive and made sure our water glasses were never empty. Great value for the portion sizes we received. The ambiance is cozy and perfect for a date night."
My new weekly tradition,03-02-24,5,"The margherita pizza was outstanding. The crust was perfectly charred from the wood-fired oven, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the cheese was a bit rubbery. The staff was incredibly knowledgeable about the wine pairings. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
Waste of money,04-23-24,1,"This was honestly a disaster. The homemade pasta arrived cold and the crust was a bit too doughy in the center. The tomato sauce had a bright, fresh acidity was off and the cheese ratio was spot on was poor quality. The server was very attentive and made sure our water glasses were never empty. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. Loved the open kitchen concept where you can see the chefs working. I cannot recommend this place to anyone."
Better options elsewhere,02-21-24,2,"I had high hopes for the margherita pizza, but it fell short. The rich and savory tomato base was disappointing and the crust was crispy on the bottom but airy and light. The high-quality cheese that didn't feel greasy lacked flavor. The manager personally checked on our table to ensure everything was to our liking. The lunch special is an absolute steal for the quality you get. The ambiance is cozy and perfect for a date night."
Really solid pizza,01-25-24,4,"The veggie supreme was very tasty. I particularly enjoyed how the crust was crispy on the bottom but airy and light. The sauce was a bit bland and lacked seasoning and high-quality cheese that didn't feel greasy were highlights. Service was a bit slow despite the restaurant not being full. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. Just a minor wait time kept it from being a full 5 stars."
Underwhelming,02-28-24,2,"I had high hopes for the homemade pasta, but it fell short. The rich and savory tomato base was disappointing and the crust was a bit too doughy in the center. The creamy buffalo mozzarella that melted beautifully lacked flavor. The manager personally checked on our table to ensure everything was to our liking. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. Loved the open kitchen concept where you can see the chefs working."
Incredible quality and service,01-14-24,5,"The calzone was outstanding. The crust was a bit too doughy in the center, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the generous portions of fresh mozzarella. The staff was incredibly knowledgeable about the wine pairings. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Best meal in a long time,03-17-24,5,"The veggie supreme was outstanding. The crust was thin and traditional, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the cheese ratio was spot on. The server was very attentive and made sure our water glasses were never empty. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
"Decent food, slow service",12-14-23,3,"The pepperoni pizza was decent enough, though nothing stood out. The crust was perfectly charred from the wood-fired oven. The sauce was a bit bland and lacked seasoning while the cheese ratio was spot on was just okay. Loved the open kitchen concept where you can see the chefs working. However, We had to flag down the waiter multiple times just to get the check. Great value for the portion sizes we received."
Incredible quality and service,02-04-24,5,"The calzone was outstanding. The crust was crispy on the bottom but airy and light, and the perfectly balanced sauce with hints of oregano and garlic. To top it off, the high-quality cheese that didn't feel greasy. The server was very attentive and made sure our water glasses were never empty. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
It was okay,12-12-23,3,"The pepperoni pizza was decent enough, though nothing stood out. The crust was slightly chewy with a great sourdough flavor. The sauce was a bit bland and lacked seasoning while the cheese was a bit rubbery was just okay. It gets quite loud during the dinner rush, making conversation difficult. However, The server was very attentive and made sure our water glasses were never empty. The lunch special is an absolute steal for the quality you get."
My new weekly tradition,03-15-24,5,"The margherita pizza was outstanding. The crust was slightly chewy with a great sourdough flavor, and the tomato sauce had a bright, fresh acidity. To top it off, the cheese ratio was spot on. Service was a bit slow despite the restaurant not being full. The decor is simple but charming, giving it a real rustic feel. Definitely worth every penny."
My new weekly tradition,03-19-24,5,"The garlic knots was outstanding. The crust was slightly chewy with a great sourdough flavor, and the sauce was a bit bland and lacked seasoning. To top it off, the cheese ratio was spot on. The staff was incredibly knowledgeable about the wine pairings. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
